,source,relation,destination
6021,masks,limit,spread
6022,masks,limit,coronavirus
6023,American public,wear from,masks
6024,American public,wear from,beginning
6025,American public,wear from,shortage
6026,American public,wear from,masks
6027,neck gaiters,wearing in,masks
6028,neck gaiters,wearing in,COVID-19 pandemic
6029,neck gaiters,misinterpreting,study
6030,neck gaiters,demonstrate,method
6031,neck gaiters,evaluating,masks
6032,neck gaiters,determine,effectiveness
6033,neck gaiters,determine,different types
6034,neck gaiters,determine,masks
6035,study,looked at,one wearer wearing
6036,study,looked at,one neck gaiter made
6037,study,looked at,spandex blend
6038,study,support,claim
6039,study,support,gaiters made
6040,study,support,media
6041,neck gaiter,make from,thin material
6042,neck gaiter,limiting,airborne droplets expelled
6043,neck gaiter,limiting,wearer
6044,Isaac Henrion,limiting,authors
6045,result,was,material
6046,mask,make from,fabric
6047,mask,have,same result
6048,mask,have,design
6049,Warren S. Warren,be,Warren S. Warren
6050,Warren S. Warren,be,author interviews
6051,press coverage,careened out,control
6052,press coverage,careened out,study testing
6053,press coverage,measuring,technique
6054,usage,spread,masks
6055,usage,related,issues
6056,usage,related,low blood oxygen levels
6057,masks,cause by,resistant pneumonia
6058,masks,preventing,pathogenic organisms
6059,masks,exhaled,body
6060,Individuals,claimed,legal exemptions
6061,Individuals,complying with,mask mandates
6062,Individuals,have,instance
6063,Americans,claimed for,Disabilities
6064,Americans,prohibit,discrimination based
6065,Americans,prohibit,disabilities
6066,Americans,allow,exemption
6067,Americans,allow,mask requirements
6068,Act,provide from,blanket exemption
6069,Act,provide from,people
6070,Act,provide from,disabilities
6071,Act,complying with,legitimate safety requirements necessary
6072,Act,complying with,safe operations
6073,Australia Department,issued,warning
6074,Australia Department,issued,cards
6075,Australia Department,featuring,Australia Department
6076,Australia Department,featuring,Health
6077,Australia Department,featuring,logos or
6078,Australia Department,exempt from,holders
6079,Australia Department,wearing,masks
6080,cards,issued by,government agency
6081,who,cleaning,supplies
6082,who,use as,gasoline
6083,who,use as,disinfectant
6084,who,clean,those
6085,who,cleaning,supplies masks
6086,who,cleaning,people
6087,who,drench For,people
6088,who,do,gasoline or
6089,who,dip,dip
6090,who,dip,gasoline
6091,Rodrigo Duterte spokesman,corrected,spokesman
6092,drinking,drinking,alcohol
6093,drinking,protect against,COVID-19
6094,drinking,increase,health risks
6095,other alcohols,is,such methanol
6096,other alcohols,cause,methanol poisoning
6097,other alcohols,prepared,alcoholic beverages
6098,Iran,reported,incidents
6099,Iran,reported,methanol poisoning
6100,Iran,caused by,false belief
6101,drinking,drinking,alcohol
6102,drinking,protect against,coronavirus
6103,alcohol,banned in,Iran
6104,bootleg alcohol,contain,methanol
6105,more than a thousand,become due,methanol poisoning
6106,Associated Press,give,figures
6107,Associated Press,give,around 480 deaths
6108,number,reached by,over 700
6109,number,reached by,April
6110,Iranian social media,circulated,story
6111,Iranian social media,circulated,British tabloids
6112,British man,cured of,coronavirus
6113,British man,cured of,whiskey and
6114,British man,combined with,use
6115,British man,based,hand sanitizers
6116,British man,based,disinfectants
6117,British man,led to,false belief
6118,drinking,drinking,proof alcohol
6119,drinking,kill,virus
6120,Similar incidents,occurred in,Turkey
6121,30 Turkmenistan citizens,dying from,methanol poisoning related
6122,30 Turkmenistan citizens,dying from,coronavirus cure claims
6123,Mike Sonko,come under,scrutiny
6124,Mike Sonko,including,small bottles
6125,Mike Sonko,including,cognac Hennessy
6126,Mike Sonko,including,care packages
6127,alcohol,serve as,throat sanitizer
6128,alcohol,serve as,research
6129,alcohol,play,major role
6130,alcohol,killing,coronavirus
6131,several that,drinking from,warm drinks
6132,several that,drinking from,around 30 °
6133,C,protect from,you
6134,C,protect from,COVID-19
6135,C,protect from,Alberto Fernández
6136,president,protect from,Argentina
6137,one,drink,many hot drinks
6138,heat,kill,virus
6139,WHO,make,such recommendation
6140,drinking,drinking,hot water
6141,drinking,damage,oral mucosa
6142,false claims,spread across,social media
6143,false claims,spread across,Latin American countries
6144,vegetarians,are,coronavirus
6145,vegetarians,spread in,India
6146,vegetarians,causing,# NoMeat_NoCoronaVirus
6147,vegetarians,trend on,Twitter
6148,Eating,Eating,meat
6149,Eating,have,effect
6150,Eating,according to,Dr. Anand Krishnan
6151,Eating,according to,AIIMS
6152,rumour,affected with,industry
6153,rumour,affected with,price
6154,rumour,affected with,chicken falling
6155,rumour,affected with,third
6156,rumour,affected with,pandemic levels
6157,Fisheries,described,efforts
6158,Fisheries,improve,hygiene
6159,Fisheries,improve,meat supply chain
6160,number,claimed due,protection
6161,number,claimed due,number
6162,number,claimed due,religious groups faith
6163,number,stop,large religious gatherings
6164,Orthodox Jews,close,synagogues and
6165,Orthodox Jews,disregarded,government restrictions
6166,Torah,fold,faster rate
6167,Torah,fold,infection
6168,Torah,fold,groups
6169,Tablighi Jamaat,organised,Ijtema mass gatherings
6170,Tablighi Jamaat,organised,Malaysia
6171,God,protect,participants
6172,God,causing,biggest rise
6173,God,causing,COVID-19 cases
6174,God,causing,other countries
6175,head,encouraged In,pilgrims
6176,head,visit despite,Fatima Masumeh Shrine
6177,head,visit despite,calls
6178,head,close,Fatima Masumeh Shrine
6179,Fatima Masumeh Shrine,be,healing
6180,River,spread In,virus
6181,River,spraying into,salt water
6182,River,spraying into,mouths
6183,River,spraying into,belief
6184,virus,kill,virus
6185,virus,kill,Shincheonji Church
6186,virus,kill,Jesus
6187,virus,kill,Daegu
6188,Shincheonji worshipers,catch in,virus
6189,Shincheonji worshipers,catch in,February
6190,hundreds,died in,Wuhan
6191,hundreds,caused in,biggest spread
6192,hundreds,caused in,virus
6193,hundreds,caused in,Iran
6194,President John Magufuli,banning,congregations
6195,President John Magufuli,urged In,faithfuls
6196,President John Magufuli,pray in,churches and
6197,President John Magufuli,pray in,belief
6198,faithfuls,banning,congregations
6199,coronavirus,survive in,body
6200,coronavirus,survive in,Jesus Christ
6201,body,burn,Jesus Christ
6202,body,refer to,church
6203,Muslims,are,virus
6204,Holy Communion,announced Despite,which
6205,churchgoers,eat in,pieces
6206,churchgoers,eat in,bread
6207,churchgoers,soaked in,wine
6208,churchgoers,soaked in,same chalice
6209,churchgoers,continue as,practice
6210,Holy Communion,be,spread
6211,Holy Communion,be,illness
6212,wine,was,blemish
6213,wine,represented,blood and
6214,wine,represented,Christ
6215,attends,attend,Holy Communion
6216,attends,approaching,God
6217,who,has,power
6218,Church,restrict from,Christians
6219,Church,taking,Holy Communion
6220,Church,supported by,several clerics
6221,Greek Association,criticized for,professionals
6222,Greek Association,putting before,religious beliefs
6223,Greek Association,putting before,science
6224,review,published by,Greek physician
6225,transmission,claim,infectious disease
6226,transmission,claim,Holy Communion
6227,controversy,divided,Greek society
6228,small observational studies,discussed on,social media and
6229,small observational studies,discussed on,other which
6230,tobacco smoking,be,CoV-2 infections
6231,researchers,noted In,inverse relationship
6232,researchers,noted In,smoking and
6233,researchers,led to,increase
6234,researchers,led to,tobacco sales
6235,researchers,led to,France
6236,French government,initiated,clinical trial
6237,French government,initiated,transdermal nicotine patches
6238,smoking,increased,chance
6239,smoking,increased,Covid-19 infections
6240,smokers,experience,severe respiratory symptoms
6241,Cocaine,protect against,COVID-19
6242,snorting,snorting,cocaine
6243,snorting,sterilize,nostrils
6244,snorting,sterilize,coronavirus
6245,snorting,spread around,Europe and
6246,French Ministry,released In,public service announcement debunking
6247,French Ministry,released In,claim
6248,cocaine,protect against,COVID-19
6249,It,cause,serious side effects
6250,It,is,health
6251,World Health Organization,debunked,claim
6252,one,stay at,home
6253,one,stay at,particular days
6254,helicopters,spray over,COVID–19 disinfectant
6255,helicopters,spray over,homes
6256,such spraying,take,place
6257,such spraying,planned,July 2020
6258,Janata curfew,kill,virus
6259,Janata curfew,debunked by,media
6260,Amitabh Bachchan,criticised for,one
6261,Amitabh Bachchan,criticised for,Amitabh Bachchan tweets
6262,Amitabh Bachchan,claimed,vibrations
6263,Amitabh Bachchan,blowing as,conch shells
6264,Amitabh Bachchan,blowing as,part
6265,Amitabh Bachchan,blowing as,Janata Curfew
6266,Amitabh Bachchan,destroyed,coronavirus potency
6267,Janata Curfew,was,darkest month
6268,World Health Organization,eating,cabbage
6269,World Health Organization,prevent,coronavirus infection
6270,poisonous fruit,is,preventive COVID-19
6271,eleven people,hospitalized in,India
6272,They,eat following,fruit
6273,They,following,instructions
6274,They,following,TikTok video
6275,They,propagated regarding,misinformation
6276,They,regarding,prevention
6277,They,regarding,COVID-19
6278,vaccination activists,spread including,variety
6279,vaccination activists,spread including,rumors
6280,vaccination activists,including,overblown claims
6281,vaccination activists,including,side effects
6282,vaccination activists,including,COVID-19
6283,vaccination activists,spread by,childhood vaccines
6284,use,based,vaccines
6285,use,based,COVID-19
6286,use,been,misinformation circulated
6287,use,been,social media
6288,use,claiming,RNA
6289,use,alter,DNA
6290,alteration conspiracy theory,cited by,Wisconsin hospital pharmacist
6291,who,removed in,57 vaccine vials
6292,who,removed in,cold storage
6293,who,removed in,December 2020
6294,who,charged with,felony reckless endangerment and
6295,who,charged with,criminal property
6296,who,charged with,Ozaukee County prosecutors
6297,mRNA,degraded in,cytosol
6298,mRNA,have,time
6299,mRNA,gain,entry
6300,mRNA,gain,cell nucleus
6301,mRNA vaccines,stored at,low temperature
6302,mRNA vaccines,prevent,mRNA degradation
6303,CoV-2 vaccine,enter,cell nucleus
6304,CoV-2 vaccine,use,reverse transcriptase
6305,CoV-2 vaccine,make from,DNA
6306,CoV-2 vaccine,make from,RNA
6307,CoV-2 vaccine,make from,cell nucleus
6308,retrovirus,has,mechanisms
6309,retrovirus,imported into,nucleus
6310,other mRNA,lack,mechanisms
6311,creation,occur without,primer
6312,creation,accompany,retrovirus
6313,creation,exist for,other
6314,mRNA vaccines,alter,DNA
6315,mRNA vaccines,enter,nucleus
6316,mRNA vaccines,have,primer
6317,mRNA vaccines,activate,reverse transcriptase
6318,German politician Wolfgang Wodarg,spread In,misinformation
6319,COVID-19 vaccines,cause,infertility
6320,COVID-19 vaccines,cause,women
6321,dynamic duo,stoking,real fear
6322,women,doing,new COVID-19 vaccines based
6323,women,doing,speculative nonsense
6324,person,shed,spike proteins
6325,person,cause on,menstrual irregularities or
6326,person,cause on,reproductive health
6327,person,cause on,vaccinated women
6328,who,are,proximity
6329,who,are,them
6330,claims,cited by,Centner Academy private school
6331,claims,cited by,Miami
6332,claims,removed from,vaccinated teachers
6333,claims,removed from,classrooms
6334,claims,hire,vaccinated teachers
6335,claims,hire,future
6336,claims,banning,customers
6337,none,stated,vaccines
6338,none,approved in,United States
6339,none,affect,person
6340,who,include,medical Jen Gunter menstruation
6341,promoters,reported In,claim
6342,promoters,recommended,use
6343,promoters,recommended,face masks and
6344,promoters,protect from,face masks and
6345,promoters,distancing from,those
6346,FDA,pushed,conspiracy theory
6347,polio vaccines,contained,coronavirus
6348,polio vaccines,complicating,polio eradication
6349,polio vaccines,complicating,logistical difficulties created
6350,polio vaccines,complicating,COVID-19 pandemic
6351,Claims,circulated on,social media
6352,Pfizer‑BioNTech COVID‑19 vaccine,cause,palsy
6353,four,had,palsy
6354,frequency,reported,palsy
6355,frequency,reported,vaccine group
6356,frequency,is,expected background rate
6357,frequency,is,general population
6358,dependent enhancement,is,which
6359,person,is,antibodies
6360,person,is,one virus
6361,person,is,i.e. infection or
6362,person,develop in,worse disease
6363,person,related,virus
6364,person,related,unique reaction
6365,person,related,proteins
6366,person,related,surface
6367,person,related,second virus
6368,ADE,observed in,animal studies
6369,ADE,observed in,development
6370,ADE,observed in,past coronavirus vaccines
6371,ADE,observed in,14 June 2021
6372,ADE,observed,human vaccine trials
6373,ADE,observed in,vitro
6374,ADE,observed in,animal studies
6375,ADE,observed in,many different viruses
6376,ADE,display in,ADE
6377,ADE,display in,humans
6378,vaccination activists,cite as,ADE
6379,vaccination activists,cite as,reason
6380,vaccination activists,avoid,vaccination
6381,vaccination activists,avoid,COVID-19
6382,Multiple social media posts,promoted,conspiracy theory claiming
6383,Multiple social media posts,promoted,early stages
6384,Multiple social media posts,promoted,pandemic
6385,vaccine,existed for,COVID-19
6386,vaccine,existed for,point
6387,patents,cited by,various social media posts
6388,patents,existing,patents
6389,patents,existing,genetic sequences and
6390,patents,existing,other strains
6391,patents,existing,coronavirus
6392,patents,existing,SARS coronavirus
6393,WHO,reported,5 February 2020
6394,WHO,reported,news reports
6395,WHO,reported,breakthrough drugs
6396,WHO,included,antibiotics and
6397,post,claimed in,April 2020
6398,seven Senegalese children,received,COVID-19 vaccine
6399,such vaccine,were,clinical trials
6400,such vaccine,were,time
6401,claims,circulated on,web
6402,Oxford,contained,tissue
6403,Oxford,aborted,fetuses
6404,cell lines,derived from,fetus aborted
6405,cell lines,derived from,1970
6406,cell lines,play,role
6407,cell lines,play,vaccine development process
6408,molecules,are,vaccine itself
6409,mRNA vaccines,claiming,COVID-19
6410,prion diseases,based on,paper
6411,prion diseases,based on,J. Bart Classen
6412,paper,published in,Microbiology and
6413,paper,included in,list
6414,paper,included in,publishers
6415,paper,included in,predatory journals
6416,Vincent Racaniello,described,claim
6417,metal objects,stick to,people bodies
6418,activist Sherri Tenpenny,promoted,false claim
6419,who,been,interface
6420,what,injected in,shots
6421,what,injected in,5 G towers
6422,posts,circulated,social media
6423,posts,make,many unfounded claims
6424,posts,make,methods
6425,posts,make,coronavirus
6426,conservative figures,downplayed,scale
6427,conservative figures,downplayed,pandemic
6428,it,exaggerated as,part
6429,it,exaggerated as,effort
6430,it,hurt,President Trump
6431,people,pointed to,empty hospital parking lots
6432,people,pointed to,evidence
6433,many hospitals,experienced Despite,thousands
6434,many hospitals,experienced Despite,COVID-19-related hospitalizations
6435,Chinese media,advertised on,overnight research report
6436,Chinese media,advertised on,Wuhan Institute
6437,Chinese media,advertised on,Virology
6438,Chinese media,advertised on,Materia Medica
6439,Chinese media,advertised on,Chinese Sciences
6440,shuanghuanglian,advertised on,traditional Chinese herb medicine
6441,shuanghuanglian,inhibit,novel coronavirus
6442,report,led to,purchase craze
6443,report,led to,shuanghuanglian
6444,president,promoted in,April 2020
6445,president,promoted in,herbal drink based
6446,president,promoted in,artemisia plant
6447,president,promoted in,miracle cure
6448,president,prevent despite,lack
6449,president,prevent despite,medical evidence
6450,drink,exported to,other African countries
6451,extracts,Based on,E. purpurea
6452,extracts,showed Based,virucidal activity
6453,extracts,showed Based,coronaviruses
6454,extracts,including,SARS CoV-2
6455,data,derived from,cell cultures
6456,antiviral effects,derived from,humans
6457,regulatory agencies,recommended As,use
6458,regulatory agencies,recommended As,Echinacea preparations
6459,regulatory agencies,recommended As,prophylaxis and
6460,regulatory agencies,recommended As,COVID-19
6461,vitamin C,was,more FDA warning letters
6462,vitamin C,was,other quack treatment
6463,vitamin C,was,COVID-19
6464,Vitamin D pills,circulated on,social media
6465,Vitamin D pills,circulated on,Thailand
6466,Centre,Based,Medicine
6467,whole population,is,UK
6468,whole population,take,vitamin D supplements
6469,whole population,prevent,vitamin D deficiency
6470,whole population,find In,clinical evidence
6471,vitamin D supplements,treating,COVID-19
6472,preprint,show for,beneficial effect
6473,preprint,show for,vitamin D
6474,preprint,show for,COVID-19
6475,preprint,go across,social media
6476,preprint,cited in,mainstream academic literature
6477,preprint,including in,recommendation
6478,preprint,including in,NICE
6479,none,find,authors
6480,none,know of,hospitals listed
6481,none,know of,authors affiliations
6482,textbook,talk about,coronaviruses
6483,textbook,talk about,general family
6484,textbook,talk about,viruses
6485,saline solutions,kill,COVID-19
6486,saline solutions,have,effect
6487,tweet,raised,concerns
6488,tweet,raised,ibuprofen
6489,tweet,worsening,COVID-19
6490,tweet,spread on,social media
6491,COVID-19 patients,taking,ibuprofen
6492,COVID-19 patients,citing,lack
6493,COVID-19 patients,citing,convincing evidence
6494,COVID-19 patients,citing,danger
6495,applying,applying on,cow dung
6496,applying,applying on,body
6497,applying,cure,COVID-19
6498,two people,arrested under,National Security Act
6499,two people,arrested under,social media posts
6500,cow urine,cure,virus
6501,two people,arrested under,Section 153
6502,two people,arrested under,Indian Penal Code
6503,two people,promoting on,enmity
6504,two people,promoting on,different groups
6505,two people,promoting on,grounds
6506,two people,promoting on,religion
6507,two people,promoting on,birth
6508,two people,promoting on,maintenance
6509,two people,promoting on,harmony
6510,politicians,spreading without,such misinformation
6511,politicians,spreading without,evidence
6512,drug,based on,D 2-deoxy glucose
6513,drug,approved by,Drugs Controller General
6514,drug,approved by,India
6515,drug,approved by,emergency use
6516,drug,approved by,adjunct therapy
6517,drug,approved by,severe coronavirus patients
6518,drug,launched at,press conference
6519,drug,launched at,false claim
6520,drug,based on,D 2-deoxy glucose
6521,drug,approved by,World Health Organization
6522,drug,based on,D 2-deoxy glucose
6523,drug,developed by,DRDO
6524,drug,developed by,Dr. Laboratories
6525,who,stated in,press release
6526,drug,help in,faster recovery
6527,drug,hospitalised,patients
6528,drug,reduce,supplemental oxygen dependence
6529,approval,based on,poor evidence
6530,journal publication,concerning,efficacy and
6531,COVID management guidelines,using,Traditional Chinese medicines
6532,COVID management guidelines,treat,disease
6533,local authorities,pushed for,set
6534,local authorities,pushed for,TCM prescriptions
6535,local authorities,used for,case
6536,local authorities,used for,early February
6537,One formula,promoted at,national level
6538,One formula,promoted at,February
6539,91.91 %,According to,Hubei patients
6540,91.91 %,used According,TCM
6541,rate,reaching,99 %
6542,rate,reaching,field hospitals
6543,rate,reaching,bulk quarantine areas
6544,online insert,distributed in,Daily Telegraph
6545,online insert,published In,article stating
6546,Traditional Chinese medicine,fight,coronavirus
6547,chloroquine,cure,"more than 12,000 COVID-19 patients"
6548,chloroquine,cure,Nigeria
6549,tech startup who,suggested to,investors Gregory Rigano and
6550,James chloroquine,keep out,most people
6551,James chloroquine,keep out,hospital
6552,he,reached through,conclusion
6553,he,reached through,philosophy
6554,he,reached through,medical research
6555,Two days Rigano,promoted in,chloroquine
6556,Two days Rigano,published,article
6557,Two days Rigano,claimed,affiliation
6558,Two days Rigano,claimed,Stanford University School
6559,Two days Rigano,claimed,Medicine
6560,Two days Rigano,claimed,National Sciences
6561,Two days Rigano,claimed,Birmingham Medicine
6562,three institutions,had,links
6563,three institutions,had,article
6564,Google,removed for,article
6565,Google,violating,Google terms
6566,Google,violating,service
6567,Chair,used In,Senate hearing
6568,Chair,promote,fringe theories
6569,Chair,promote,COVID-19
6570,care who,described as,ivermectin
6571,care who,described as,miraculous
6572,care who,described as,wonder drug
6573,care who,used against,COVID-19
6574,Video footage,go on,social media
6575,Video footage,receiving as,million one views
6576,Video footage,receiving as,11 December
6577,senior research fellow,posted In,video
6578,senior research fellow,posted In,draft meta analysis
6579,number,misleading,websites
6580,number,show,meta analyses
6581,number,show,clinical evidence
6582,number,show,favour
6583,number,show,ivermectin
6584,number,sporting,colorful graphics
6585,misinformation,gained,traction
6586,misinformation,gained,social media
6587,misinformation,created,confusion
6588,misinformation,created,public makers
6589,review article,accepted for,publication
6590,review article,accepted for,Frontiers Media journal
6591,review article,rejected on,account
6592,publisher,were,unsupported claims based
6593,publisher,were,studies
6594,publisher,were,insufficient statistical significance
6595,article,offer as,objective balanced scientific contribution
6596,article,offer as,evaluation
6597,article,offer as,ivermectin
6598,article,offer as,potential treatment
6599,article,offer as,COVID-19
6600,use,championed by,group calling
6601,use,championed by,use
6602,use,championed by,ivermectin
6603,use,covid-19,Critical Care Alliance
6604,use,say,use
6605,use,say,ivermectin
6606,use,say,COVID-19 heads
6607,use,say,global movement
6608,use,move into,# Ivermectin
6609,use,move into,mainstream
6610,effort,go on,social media
6611,effort,adopted by,COVID deniers
6612,narrative,write,ivermectin
6613,narrative,write,miracle cure
6614,narrative,write,COVID-19
6615,narrative,is,similar conspiracy theory
6616,narrative,is,drug hydroxychloroquine
6617,narrative,is,which
6618,unspecified powers,suppressing,news
6619,unspecified powers,suppressing,effectiveness
6620,unspecified powers,suppressing,own profit
6621,viral social media misinformation,gained in,particular attention
6622,viral social media misinformation,gained in,South Africa
6623,South Africa,Has,A
6624,drug,make,prescription
6625,group,launched,court case
6626,group,launched,South Products Regulatory Authority
6627,group,launched,result a
6628,SAPHRA,stated in,April 2021
6629,SAPHRA,approved,COVID-19 infections
6630,QAnon proponents,including,Jordan Sather and
6631,QAnon proponents,gargling,Miracle Mineral Supplement
6632,QAnon proponents,used in,industrial applications
6633,QAnon proponents,used in,bleach
6634,QAnon proponents,threatening,reactions and
6635,QAnon proponents,threatening,way
6636,QAnon proponents,curing,disease
6637,it,cause,severe vomiting
6638,televangelist Jim Bakker,promoted In,colloidal silver solution
6639,televangelist Jim Bakker,sell on,Jim Bakker website
6640,televangelist Jim Bakker,sell on,remedy
6641,televangelist Jim Bakker,sell on,coronavirus
6642,naturopath Sherrill Sellman,sell on,televangelist Jim Bakker
6643,show,tested on,strain
6644,show,tested on,coronavirus
6645,show,tested on,other strains
6646,show,tested on,coronavirus
6647,show,eliminate within,coronavirus
6648,show,eliminate within,12 hours
6649,US Food Administration,desist,orders
6650,US Food Administration,desist,Bakker
6651,televangelist Jim Bakker,sued by,state
6652,televangelist Jim Bakker,sued by,Missouri
6653,televangelist Jim Bakker,sued by,sales
6654,York Attorney office,desist,order
6655,York Attorney office,desist,host Alex Jones
6656,who,infused,toothpaste
6657,televangelist Jim Bakker,kill,virus
6658,televangelist Jim Bakker,verified by,federal officials
6659,Jones spokesman,deny,products
6660,Jones spokesman,sell for,purpose
6661,Jones spokesman,treating,disease
6662,FDA,threaten with,Jones
6663,FDA,threaten with,legal action and
6664,FDA,based,products
6665,Jones,promote,use
6666,Jones,promote,coronavirus
6667,one,treat by,coronavirus
6668,one,pouring through,mustard oil
6669,one,pouring through,nose
6670,virus,flow into,stomach
6671,virus,destroyed by,gastric acid
6672,yoga guru,hold,minute
6673,yoga guru Ramdev,suffering from,type
6674,yoga guru Ramdev,suffering from,coronavirus
6675,government,spreading in,corona drug
6676,government,spreading in,country
6677,government,spreading in,Janata curfew
6678,government,stay at,home
6679,curfew,enforced in,India
6680,curfew,go on,social media
6681,untested cures,spread via,platforms
6682,untested cures,spread via,such WhatsApp
6683,US Federal Bureau,arrested In,Keith Lawrence Middlebrook
6684,US Federal Bureau,arrested In,wire fraud
6685,US Federal Bureau,arrested In,fake COVID-19 cure
6686,televangelist,claimed on,Victory Channel
6687,televangelist,claimed on,programme called
6688,televangelist,Standing Against,Coronavirus
6689,Keith Lawrence Middlebrook,cure from,television viewers
6690,Keith Lawrence Middlebrook,cure from,COVID-19
6691,Keith Lawrence Middlebrook,cure from,television studio
6692,viewers,touch,television screen
6693,viewers,receive,spiritual healing
6694,Chinese,Originated,Viral Infectious Disease 19
6695,Chinese,Originated,19th virus
6696,Chinese,come out,China
6697,WHO,named In,disease
6698,CO,stand for,corona
6699,CO,stand for,virus
6700,CO,stand for,disease
6701,Simpsons,predicted in,COVID-19 pandemic
6702,Simpsons,predicted in,1993
6703,Simpsons,doctored,screenshot
6704,Simpsons,doctored,show
6705,text,layered over,original text
6706,text,blocking from,Simpsons
6707,text,blocking from,view
6708,claim,spread on,social media
6709,many false images,shared by,clickbait journalism sources and
6710,viral post,originated on,Weibo
6711,viral post,spread on,Twitter
6712,pack,claimed,elephants
6713,pack,descended on,village
6714,pack,descended on,quarantine
6715,pack,descended on,Yunnan
6716,pack,get,corn wine
6717,pack,passed in,tea garden
6718,Chinese news report,debunked,claim
6719,elephants,get,corn wine
6720,wild elephants,were,common village
6721,image,attached to,post
6722,image,take at,Elephant Research Center
6723,image,take at,Yunnan
6724,image,take at,December 2019
6725,images,show,swans and
6726,images,swimming in,Venice canals
6727,images,go on,social media
6728,image,take in,Burano
6729,footage,are,dolphins
6730,footage,filmed at,port
6731,footage,filmed at,Sardinia
6732,footage,filmed at,hundreds miles
6733,reported water clarity,clarified,canals
6734,reported water clarity,was,lack
6735,reported water clarity,was,sediment
6736,reported water clarity,kicked,boat traffic
6737,reported water clarity,kicked,water pollution
6738,video clip,show,rare Malabar civet
6739,video clip,walking,empty streets
6740,video clip,walking,Meppayur
6741,video clip,go Following,social media
6742,Experts,identified as,civet
6743,Experts,identified as,video
6744,pod,showed,humpback whales
6745,pod,returning to,Arabian Sea
6746,pod,returning to,Mumbai
6747,pod,following,shutdown
6748,pod,following,shipping routes
6749,video,take in,2019
6750,video,take in,Java Sea
6751,anyone,infected with,COVID-19
6752,anyone,have,virus
6753,anyone,have,anyone infected
6754,anyone,have,COVID-19 bodies
6755,anyone,have,life
6756,curative infected people,recover from,disease
6757,curative infected people,eliminate from,virus
6758,curative infected people,eliminate from,most infected people bodies
6759,World Health Organization,described On,massive infodemic
6760,World Health Organization,citing,over abundance
6761,World Health Organization,reported,information
6762,World Health Organization,was,virus
6763,people,find,trustworthy sources and
6764,reliable people,need,it
6765,high demand,stated,timely information
6766,high demand,incentivised,creation
6767,high demand,busting,hotline
6768,social teams,responding to,misinformation
6769,social teams,responding to,social pages
6770,World Health WHO,debunked,several claims
6771,World Health WHO,including,claim
6772,World Health WHO,including,that
6773,person,tell if,World Health Organization
6774,WHO,have,virus
6775,WHO,holding,World Health Organization
6776,drinking,drinking,large amounts
6777,drinking,drinking,water
6778,drinking,protect against,virus
6779,gargling,gargling,salt water
6780,gargling,prevent,infection
6781,Facebook,working with,WHO
6782,Facebook,address,misinformation
6783,Facebook Twitter,remove,content flagged
6784,Facebook Twitter,remove,global health organizations and
6785,Facebook Twitter,violate,Facebook
6786,Facebook Twitter,violate,Twitter content policy
6787,Facebook Twitter,violate,misinformation leading
6788,Facebook Twitter,violate,physical harm
6789,Facebook Twitter,giving,free advertising
6790,Facebook Twitter,giving,WHO
6791,sunlight,kill,virus
6792,companies,remove from,companies platforms
6793,Facebook Twitter,removed On,million seven posts
6794,Facebook Twitter,removed On,misinformation
6795,Amazon,removed At,more than a million products
6796,Amazon,protect against,coronavirus
6797,Amazon,removed,tens of thousands
6798,Amazon,removed,listings
6799,Amazon,removed,health products
6800,prices,were,recent prices offered
6801,prices,were,Amazon
6802,numerous items,sell at,high prices
6803,numerous items,sell at,28 February
6804,Millions,occurred across,number
6805,Millions,occurred across,online platforms
6806,certain rumors,started in,China
6807,many,started in,Other fake news researchers
6808,many,spread to,Korea and
6809,many,prompting,several universities
6810,many,prompting,Korea
6811,many,start,multilingual Facts
6812,many,start,Rumors
6813,many,start,campaign
6814,many,evaluate,common claims seen
6815,proliferation,led to,workshops
6816,proliferation,led to,application
6817,proliferation,learning,resources
6818,proliferation,learning,misinformation detection
6819,workshops,listed,below addition
6820,divisive nature,listed,issue
6821,divisive nature,existing,political tensions
6822,divisive nature,led to,online bullying
6823,divisive nature,led to,scientists
6824,media,praised,coverage
6825,media,praised,COVID-19
6826,media,combating,inclusion
6827,media,combating,misinformation
6828,media,combating,efforts led
6829,media,combating,WikiProject Med Foundation and
6830,media,combating,other WikiProject groups
6831,WHO,working with,Wikipedia
6832,WHO,provide with,much
6833,WHO,provide with,Wikipedia infographics and
6834,WHO,provide with,COVID-19
6835,WHO,fight,misinformation
6836,WHO,fight,plans
6837,WHO,use,similar approaches
6838,WHO,fighting,misinformation
6839,WHO,fighting,other infectious diseases
6840,WHO,fighting,future
6841,many newspapers,lowered with,many newspapers
6842,many newspapers,lowered with,paywalls
6843,many newspapers,lowered with,many newspapers
6844,many newspapers,lowered with,paywalls coronavirus coverage
6845,Many scientific publishers,make,scientific papers related
6846,Many scientific publishers,make,outbreak
6847,scientific publishing community,producing,quality scholarly publications
6848,scientific publishing community,impacted by,infiltration
6849,scientific publishing community,impacted by,inferior research leading
6850,scientific publishing community,impacted by,retraction
6851,scientific publishing community,impacted by,several articles
6852,scientific publishing community,impacted by,topic
6853,scientific publishing community,impacted by,COVID-19
6854,scientific publishing community,polluting,scientific study
6855,scientific publishing community,bringing into,question
6856,scientific publishing community,bringing into,reliability
6857,scientific publishing community,bringing into,research
